2021,联合
服务器,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
ブルネイ,4755,5064,4865,5118,5323,4374,5262,5880,4694,5692,5707,4389
単冠湾,5351,5863,5353,5116,5229,4354,5425,5794,4813,6249,6228,4412
幌筵,4986,6589,5548,5772,5486,4194,5100,6130,4367,6764,6492,4430
宿毛湾,5398,6014,5252,4918,4886,4376,4954,6131,5117,6205,6168,5072
鹿屋,5101,5322,5223,5620,5277,4380,5229,5681,5063,5939,6574,4638
岩川,4539,5186,5062,4946,4934,4362,4790,5997,4442,6202,6142,4677
佐伯湾,5338,5159,4715,5042,4819,4231,5773,5747,5005,5839,6107,5253
柱島,7560,7295,7052,6897,6315,5748,6116,7171,6007,8013,7618,5788
2019,2群
服务器,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
横須賀,3636,4052,3652,3439,3655,3228,3697,4201,3550,4284,4430,3649
呉,4014,4200,4004,3716,3900,3331,3990,4404,3745,4461,4758,3776
佐世保,3863,4250,3876,3621,3812,3399,3906,4417,3576,4438,4530,3640
舞鶴,3992,4346,3937,3851,3877,3461,3957,4495,3855,4612,4924,3708
大湊,3456,3672,3530,3404,3386,3051,3380,4074,3378,4090,4298,3454
トラック,3531,3541,3372,3174,3409,3126,3440,4000,3382,4181,4333,3509
リンガ,3438,3811,3657,3241,3595,3111,3422,4124,3321,4024,4395,3474
ラバウル,3571,3762,3512,3407,3453,3116,3400,3981,3449,4073,4153,3567
ショートランド,3512,3783,3429,3447,3515,3118,3359,3923,3441,4163,4123,3488
ブイン,3418,3563,3184,3204,3371,3015,3194,3778,3296,3975,3973,3439
タウイタウイ,3560,3878,3471,3325,3431,2993,3355,3873,3299,4120,4108,3516
パラオ,3503,3552,3566,3418,3439,3146,3538,3828,3436,4177,4132,3502
ブルネイ,3387,3559,3307,3300,3435,3107,3320,3784,3202,3777,3977,3444
単冠湾,3497,3548,3287,3283,3369,3058,3480,3893,3241,4043,4052,3499
幌筵,3410,3831,3499,3320,3324,3131,3412,4003,3278,3996,4174,3456
宿毛湾,3405,3578,3317,3358,3332,3116,3445,3829,3323,4053,4119,3423
鹿屋,3550,3764,3465,3196,3348,2987,3506,3936,3288,4080,4039,3477
岩川,3439,3625,3270,3127,3549,3092,3252,3989,3283,4065,4058,3497
佐伯湾,3527,3522,3287,3240,3265,3140,3333,3955,3253,4005,3965,3446
柱島,4397,4771,4798,4422,4123,4012,4546,4945,4132,5330,5081,4141
2019,3群
服务器,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
横須賀,2902,2861,2600,2534,2520,2590,2556,2996,2973,3370,3229,3009
呉,3003,2996,2667,2612,2532,2672,2650,3047,3043,3410,3304,3113
佐世保,2933,2913,2589,2567,2528,2635,2600,2995,2962,3358,3182,2821
舞鶴,3020,3024,2615,2700,2564,2667,2631,3080,3039,3453,3284,3080
大湊,2743,2592,2437,2335,2359,2432,2365,2810,2742,3191,2924,2421
トラック,2645,2495,2393,2329,2294,2384,2414,2749,2614,3171,2923,2466
リンガ,2637,2606,2440,2355,2309,2374,2396,2748,2700,3137,2910,2498
ラバウル,2758,2627,2529,2389,2356,2508,2444,2830,2826,3249,3030,2755
ショートランド,2739,2599,2474,2348,2298,2505,2386,2723,2798,3166,3005,2595
ブイン,2681,2490,2432,2325,2279,2451,2392,2732,2734,3164,2810,2487
タウイタウイ,2691,2617,2459,2306,2345,2443,2400,2741,2775,3157,2912,2485
パラオ,2685,2539,2426,2323,2298,2452,2371,2752,2788,3188,2824,2617
ブルネイ,2569,2413,2389,2242,2209,2377,2277,2648,2518,3083,2784,2288
単冠湾,2666,2448,2448,2297,2206,2421,2371,2677,2709,3168,2817,2506
幌筵,2663,2503,2433,2300,2224,2443,2317,2704,2735,3137,2885,2528
宿毛湾,2616,2544,2425,2306,2298,2425,2337,2670,2675,3155,2894,2384
鹿屋,2664,2537,2442,2324,2298,2445,2371,2784,2786,3164,2908,2669
岩川,2654,2514,2409,2278,2242,2389,2348,2752,2695,3170,2724,2489
佐伯湾,2635,2422,2381,2284,2237,2448,2317,2652,2703,3110,2750,2426
柱島,3124,3105,2966,2862,2678,2856,2855,3233,3199,3747,3352,3393
2018,联合
服务器,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
横須賀,5949,5519,4541,5569,6020,5951,7300,1058,1092,1168,1274,8891
呉,5770,4239,4302,5298,5643,5916,6213,1065,1024,1513,1308,9328
佐世保,4296,4249,4011,4346,5211,4689,6026,1189,1012,1379,1301,6580
舞鶴,6039,4226,4509,4634,4482,4568,4715,1038,1190,1434,1350,8721
大湊,6440,4136,4665,7000,6162,6340,7309,1050,1727,1371,1212,9558
トラック,6174,5053,4561,5985,6049,5107,6460,1011,9333,1030,1098,7404
リンガ,5575,4409,4916,4859,7190,5519,6666,1027,1356,1193,1000,7612
ラバウル,6772,5652,4296,5675,7069,6278,7356,1076,1000,1117,1366,8406
ショートランド,8001,6917,5784,6183,5910,6453,1139,1039,1276,1501,1355,9278
ブイン,7254,5459,4448,5662,5502,5375,5958,8112,9000,1300,1043,7467
タウイタウイ,6731,7140,4971,6712,7121,7655,8990,1212,9189,1361,1284,8232
パラオ,6192,4599,4841,5702,6155,5981,6658,1064,8917,1119,1208,7691
ブルネイ,7080,6043,4841,5555,5894,6265,7127,8375,8792,1124,1189,7080
単冠湾,6129,4901,6069,5619,6730,5174,6810,1008,9493,1458,1259,8049
幌筵,6771,5337,4680,5509,6945,7210,7383,1072,8608,1294,1198,7986
宿毛湾,5480,4564,4947,5273,6160,6953,6785,9784,1013,1162,1113,7332
鹿屋,6008,5660,4789,6222,8172,5463,7001,1012,8564,1142,1206,7724
岩川,6262,5022,4213,5639,6937,4901,6005,8922,8018,9299,1006,7309
佐伯湾,6529,5186,4936,6696,6270,6653,7524,1112,9065,1108,1144,8161
柱島,9194,7265,6570,8032,7290,7769,8123,1280,1453,1501,1499,1029
2018,1群
服务器,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
横須賀,4157,3743,3304,3617,4209,3936,4533,7580,7409,8387,7572,5541
呉,3927,3229,3146,3624,4161,3993,3962,8081,7090,9966,8836,5646
佐世保,3621,3244,3168,3751,4058,3505,4307,8400,7111,9575,8260,5702
舞鶴,3734,3001,2896,3772,3465,3726,3870,8623,8000,9610,9415,5723
大湊,4068,3139,3195,4089,4079,4121,4510,7822,6100,8103,8130,4681
トラック,4112,3312,3286,3978,4141,3594,4257,7345,6657,8307,8840,5630
リンガ,4470,3412,3324,3929,4407,3766,4426,7721,6709,7285,7395,5490
ラバウル,4441,3662,3621,4437,5007,4870,4954,7187,5866,8039,8032,5290
ショートランド,5103,3820,3591,3922,4683,4639,4539,7034,6002,8657,7157,5214
ブイン,4231,3471,3831,4109,4079,3747,4609,6389,5581,7556,7710,4907
タウイタウイ,5621,3962,4030,4279,4745,5467,5207,7953,6306,7189,8392,5470
パラオ,4450,3195,3505,4127,4166,3987,4711,7561,5861,8603,8401,4852
ブルネイ,4745,3717,3637,4251,4557,4114,4687,6572,6229,7038,8124,4859
単冠湾,4986,3878,3658,4118,4925,4057,4743,7449,6491,8165,7163,5591
幌筵,5087,3676,3598,4145,5012,4667,4792,7045,6280,9036,8213,5526
宿毛湾,4040,3340,3692,4175,4716,4755,4678,7324,6155,7266,8236,5157
鹿屋,4367,3812,3919,4500,4806,4532,4691,7323,6335,8222,7804,5224
岩川,4476,3590,3544,3816,4255,3855,4616,7255,5443,7805,6484,5069
佐伯湾,4583,3865,3944,4830,5121,4698,4902,8104,6229,8471,7379,5580
柱島,6701,4939,4743,5849,6038,5307,6197,9994,8325,1041,1086,6562
2018,2群
服务器,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
横須賀,2752,2373,2484,2642,2946,2738,3043,5370,3962,4928,4840,3548
